,,Week 11 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Jaquez Moore,Duke,NCSU,Duke,-,-,51,11.66,58,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,UL-Laf,ArkSt,-,-,52,11.65,50,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,Ala,Ala,-,-,53,11.64,59,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Noah Whittington,Oregon,MD,MD,-,-,54,11.48,51,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Rodrigues Clark,Southern Miss,Marsh,Marsh,-,-,55,11.46,55,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Anthony Hankerson,Oregon State,SJSU,SJSU,-,-,56,11.30,53,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Kaytron Allen,Penn State,Wash,Wash,-,-,57,11.23,68,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Jordan Houston,Marshall,SouMis,Marsh,-,-,58,11.06,56,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jeremiyah Love,Notre Dame,FlaSt,FlaSt,-,-,59,11.00,65,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,NM,NM,-,-,60,10.97,49,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,Utah,BYU,-,-,61,10.93,60,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,KennSt,KennSt,-,-,62,10.91,77,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Andrew Paul,Jacksonville State,LaTech,JacSt,-,-,63,10.88,63,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,LSU,Ala,-,-,64,10.86,62,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
Ayo Adeyi,James Madison,GaSt,GaSt,-,-,65,10.84,73,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Rahsul Faison,Utah State,WashSt,UtahSt,-,-,66,10.81,72,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,Mia-O,Mia-O,-,-,67,10.78,67,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Ta'ron Keith,South Florida,Navy,Navy,-,-,68,10.68,44,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,Fres,Fres,-,-,69,10.66,98,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,Nevada,Nevada,-,-,70,10.58,69,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,BYU,BYU,-,-,71,10.57,64,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,Ala,Ala,-,-,72,10.52,75,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Demond Claiborne,Wake Forest,Cal,Cal,-,-,73,10.41,87,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Eli Sanders,New Mexico,SDSU,NM,-,-,74,10.35,70,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,WestKy,WestKy,-,-,75,10.34,81,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Kye Robichaux,Boston College,Syr,Syr,-,-,76,10.33,66,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Lee Beebe,UAB,UConn,UConn,-,-,77,10.26,71,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Roydell Williams,Florida State,ND,FlaSt,-,-,78,10.18,84,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,JacSt,JacSt,-,-,79,10.16,83,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,UGa,UGa,-,-,80,10.03,90,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,Iowa,Iowa,-,-,81,10.03,61,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,TxSt,TxSt,-,-,82,10.03,100,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,Army,Army,-,-,83,10.02,80,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,NMSt,WestKy,-,-,84,9.97,76,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Nay'Quan Wright,South Florida,Navy,Navy,-,-,85,9.87,97,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,UConn,UConn,-,-,86,9.81,94,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,OhioSt,Purdue,-,-,87,9.81,85,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,UCF,UCF,-,-,88,9.77,93,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Ikaika Ragsdale,North Texas,Army,Army,-,-,89,9.76,91,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,OkSt,OkSt,-,-,90,9.75,86,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Rodney Hammond,Pittsburgh,UVa,UVa,-,-,91,9.65,79,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,OreSt,SJSU,-,-,92,9.63,89,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Ky Thomas,Kent,Ohio,Ohio,-,-,93,9.60,99,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
Michael Benefield,Kennesaw State,UTEP,KennSt,-,-,94,9.55,109,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
CJ Donaldson,West Virginia,Cin,WVU,-,-,95,9.53,108,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,Mich,Mich,-,-,96,9.51,74,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,App,App,-,-,97,9.44,82,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),BallSt,Mia-O,-,-,98,9.43,103,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,UCLA,Iowa,-,-,99,9.42,101,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,UAB,UConn,-,-,100,9.41,95,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,AriSt,UCF,-,-,101,9.40,105,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,NCSU,Duke,-,-,102,9.40,96,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Treshaun Ward,Boston College,Syr,Syr,-,-,103,9.24,92,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Henry Parrish,Mississippi,UGa,UGa,-,-,104,9.13,111,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Lawrance Toafili,Florida State,ND,FlaSt,-,-,105,9.06,88,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,MiddTn,Lib,-,-,106,9.04,117,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,ArkSt,ArkSt,-,-,107,9.04,113,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,Tenn,MissSt,-,-,108,9.03,110,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,JMU,GaSt,-,-,109,9.02,104,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,ECU,FlaAtl,-,-,110,8.97,112,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,UConn,UConn,-,-,111,8.91,78,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,WestKy,WestKy,-,-,112,8.84,116,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
Kobe Pace,Virginia,Pitt,UVa,-,-,113,8.76,102,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,SJSU,SJSU,-,-,114,8.74,106,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,Boise,Nevada,-,-,115,8.67,114,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
Roderick Robinson,Georgia,Miss,UGa,-,-,116,8.27,120,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anthony Tyus,Ohio,KentSt,Ohio,-,-,117,8.24,118,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,CoastC,App,-,-,118,8.18,121,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,Mia-O,Mia-O,-,-,119,8.17,128,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,IaSt,IaSt,-,-,120,8.15,127,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,UL-Laf,ArkSt,-,-,121,8.08,129,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Dallan Hayden,Colorado,TxTch,Colo,-,-,122,7.98,107,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,WashSt,UtahSt,-,-,123,7.95,125,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Desmond Reid,Pittsburgh,UVa,UVa,-,-,124,7.83,115,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Nate Noel,Missouri,Okla,Okla,-,-,125,7.79,123,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,MissSt,MissSt,-,-,126,7.79,119,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Freddie Brock,Georgia State,JMU,GaSt,-,-,127,7.70,133,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,Tenn,MissSt,-,-,128,7.70,124,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Anwar Lewis,Jacksonville State,LaTech,JacSt,-,-,129,7.66,130,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,UGa,UGa,-,-,130,7.54,144,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,GaTech,Mia-Fl,-,-,131,7.48,131,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,Hawaii,UNLV,-,-,132,7.45,139,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,ArkSt,ArkSt,-,-,133,7.45,153,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,TxSt,TxSt,-,-,134,7.45,148,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,SouMis,Marsh,-,-,135,7.42,134,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Benjamin Hall,Michigan,Ind,Mich,-,-,136,7.37,145,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,SCar,SCar,-,-,137,7.35,122,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
AJ Newberry,Vanderbilt,SCar,SCar,-,-,138,7.28,142,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Keith Adams Jr.,Clemson,VaTech,Clem,-,-,139,7.19,150,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,NIU,NIU,-,-,140,7.18,135,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,Lib,Lib,-,-,141,7.15,152,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,Marsh,Marsh,-,-,142,7.13,141,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,BYU,BYU,-,-,143,7.09,154,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Treyaun Webb,Florida,Tex,Fla,-,-,144,7.09,140,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,Wake,Cal,-,-,145,7.08,137,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,WestMI,NIU,-,-,146,7.05,126,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,Cal,Cal,-,-,147,6.97,160,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Ja'Vin Simpkins,Coastal Carolina,App,App,-,-,148,6.92,158,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Aiden Calvert,Air Force,Fres,Fres,-,-,149,6.91,163,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Leo Pulalasi,Washington State,UtahSt,UtahSt,-,-,150,6.86,136,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Brandon Thomas,Memphis,Rice,Rice,-,-,151,6.85,157,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Jalen Hampton,Western Kentucky,NMSt,WestKy,-,-,152,6.84,143,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Kenny Tracy,Miami (OH),BallSt,Mia-O,-,-,153,6.84,155,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,PSU,Wash,-,-,154,6.83,138,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Rahjai Harris,East Carolina,FlaAtl,FlaAtl,-,-,155,6.78,151,7.76,35.84,9.00,4.0,0.33,7.45,0.98,7.6,0.08
Andrew Henry,New Mexico,SDSU,NM,-,-,156,6.74,147,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Eli Heidenreich,Navy,USF,Navy,-,-,157,6.72,132,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Kanye Udoh,Army,NorTx,Army,-,-,158,6.65,172,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Myles Bailey,Central Michigan,BGSU,BGSU,-,-,159,6.57,156,7.63,42.30,9.00,4.7,0.25,8.67,1.06,8.2,0.00
CJ Campbell,Florida Atlantic,ECU,FlaAtl,-,-,160,6.50,171,6.83,39.08,6.00,6.5,0.41,1.62,0.32,5.1,0.00
Kaelon Black,Indiana,Mich,Mich,-,-,161,6.49,146,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
Victor Rosa,UConn,UAB,UConn,-,-,162,6.36,161,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Pat Garwo,Nevada,Boise,Nevada,-,-,163,6.34,166,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Charlie Offerdahl,Colorado,TxTch,Colo,-,-,164,6.20,159,7.51,32.99,7.00,4.7,0.26,7.96,1.31,6.1,0.09
George Pettaway,James Madison,GaSt,GaSt,-,-,165,6.18,168,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Evan Pryor,Cincinnati,WVU,WVU,-,-,166,6.17,164,7.04,36.87,9.00,4.1,0.26,3.84,0.87,4.4,0.09
Ron Wiggins,Jacksonville State,LaTech,JacSt,-,-,167,6.10,170,6.84,35.81,7.00,5.1,0.33,5.70,0.73,7.8,0.00
Donerio Davenport,Louisiana Tech,JacSt,JacSt,-,-,168,6.05,169,6.94,35.64,7.00,5.1,0.24,5.55,0.89,6.2,0.08
Kendrick Raphael,North Carolina State,Duke,Duke,-,-,169,6.02,167,6.97,41.37,9.00,4.6,0.17,8.48,0.95,8.9,0.00
Trey Cooley,Georgia Tech,Mia-Fl,Mia-Fl,-,-,170,5.98,165,7.02,30.74,7.00,4.4,0.24,9.74,1.05,9.3,0.08
Gavin Garcia,Kent,Ohio,Ohio,-,-,171,5.92,180,6.08,42.93,11.00,3.9,0.25,1.48,0.16,9.3,0.00
Coleman Bennett,Rice,Mem,Rice,-,-,172,5.82,149,7.85,25.97,7.00,3.7,0.24,17.58,2.03,8.7,0.00
Elijah Gilliam,Fresno State,AF,Fres,-,-,173,5.79,177,6.44,25.97,6.00,4.3,0.33,7.23,0.66,11.0,0.08
Alexander Diggs,Kennesaw State,UTEP,KennSt,-,-,174,5.77,179,6.12,38.51,8.00,4.8,0.26,3.34,0.35,9.5,0.00
Jadan Baugh,Florida,Tex,Fla,-,-,175,5.72,178,6.26,36.17,7.00,5.2,0.27,4.85,0.54,9.0,0.00
Zylan Perry,Louisiana-Lafayette,ArkSt,ArkSt,-,-,176,5.56,182,5.88,29.43,7.00,4.2,0.32,2.31,0.32,7.2,0.08
Branson Robinson,Georgia,Miss,UGa,-,-,177,5.52,181,5.93,26.80,5.00,5.4,0.41,3.77,0.41,9.2,0.00
Sy'veon Wilkerson,Georgia State,JMU,GaSt,-,-,178,5.49,190,5.73,33.70,8.00,4.2,0.32,1.78,0.24,7.4,0.00
Kaleb Johnson,Iowa,UCLA,Iowa,-,-,179,5.48,183,5.82,36.42,9.00,4.0,0.25,3.06,0.34,9.0,0.00
Jaison Patterson,Bowling Green,CentMi,BGSU,-,-,180,5.45,162,7.28,19.08,5.00,3.8,0.17,15.42,1.83,8.4,0.17
Daelen Alexander,Rice,Mem,Rice,-,-,181,5.41,193,5.41,6.10,3.00,2.0,0.80,0.00,0.00,0.0,0.00
Tyrell Robinson,Army,NorTx,Army,-,-,182,5.41,185,5.80,31.25,6.00,5.2,0.31,4.13,0.39,10.6,0.00
Landon Sims,Hawaii,UNLV,UNLV,-,-,183,5.29,175,6.52,33.57,8.00,4.2,0.16,9.40,1.24,7.6,0.00
Javious Bond,East Carolina,FlaAtl,FlaAtl,-,-,184,5.22,174,6.63,25.83,5.00,5.2,0.17,11.33,1.42,8.0,0.08
Jaiden Credle,Middle Tenn. St,Lib,Lib,-,-,185,5.20,184,5.81,36.39,8.00,4.5,0.17,5.33,0.60,8.9,0.00
Yasin Wllis,Syracuse,BC,Syr,-,-,186,5.17,189,5.74,32.31,7.00,4.6,0.24,4.72,0.57,8.3,0.00
Mike Washington,New Mexico State,WestKy,WestKy,-,-,187,5.14,188,5.74,25.86,5.00,5.2,0.26,4.83,0.60,8.1,0.09
Oscar Adaway III,South Carolina,Vandy,SCar,-,-,188,5.09,192,5.66,32.23,7.00,4.6,0.24,3.99,0.57,7.0,0.00
Jovantae Barnes,Oklahoma,Missou,Okla,-,-,189,5.07,186,5.75,31.91,8.00,4.0,0.26,3.49,0.68,5.1,0.00
Terrence Gist,Air Force,Fres,Fres,-,-,190,5.03,205,5.03,34.19,7.00,4.9,0.27,0.00,0.00,0.0,0.00
Sutton Smith,Memphis,Rice,Rice,-,-,191,5.02,173,6.64,19.14,4.00,4.8,0.19,13.90,1.62,8.6,0.10
Joquez Smith,Temple,Tulane,Temple,-,-,192,5.01,187,5.74,36.80,9.00,4.1,0.08,3.70,0.72,5.1,0.08
